model_path: results/models/advanced_model_best.pth
model_type: advanced
accuracy: 0.2139
precision: 0.1819
recall: 0.2139
f1_score: 0.1719
loss: 3.6188

Class report:
  Class 59: precision=0.5000, recall=0.5797, f1-score=0.5369, support=69.0
  Class 60: precision=0.2000, recall=0.1000, f1-score=0.1333, support=20.0
  Class 61: precision=0.0000, recall=0.0000, f1-score=0.0000, support=12.0
  Class 62: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 63: precision=0.1714, recall=0.3333, f1-score=0.2264, support=18.0
  Class 64: precision=0.5000, recall=0.0625, f1-score=0.1111, support=16.0
  Class 65: precision=0.0000, recall=0.0000, f1-score=0.0000, support=4.0
  Class 66: precision=0.0000, recall=0.0000, f1-score=0.0000, support=4.0
  Class 67: precision=0.0833, recall=0.2000, f1-score=0.1176, support=5.0
  Class 68: precision=0.0000, recall=0.0000, f1-score=0.0000, support=19.0
  Class 69: precision=0.0000, recall=0.0000, f1-score=0.0000, support=1.0
  Class 70: precision=0.5000, recall=0.1667, f1-score=0.2500, support=6.0
  Class 71: precision=0.0000, recall=0.0000, f1-score=0.0000, support=4.0
  Class 72: precision=0.0000, recall=0.0000, f1-score=0.0000, support=9.0
  Class 73: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 74: precision=0.2562, recall=0.4769, f1-score=0.3333, support=65.0
  Class 75: precision=0.0000, recall=0.0000, f1-score=0.0000, support=1.0
  Class 76: precision=0.0000, recall=0.0000, f1-score=0.0000, support=8.0
  Class 77: precision=0.3750, recall=0.2500, f1-score=0.3000, support=12.0
  Class 78: precision=0.0000, recall=0.0000, f1-score=0.0000, support=16.0
  Class 79: precision=0.1111, recall=0.1944, f1-score=0.1414, support=36.0
  Class 80: precision=0.0000, recall=0.0000, f1-score=0.0000, support=14.0
  Class 81: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 82: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 83: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 84: precision=0.2203, recall=0.3171, f1-score=0.2600, support=41.0
  Class 85: precision=0.0000, recall=0.0000, f1-score=0.0000, support=10.0
  Class 86: precision=0.0000, recall=0.0000, f1-score=0.0000, support=10.0
  Class 87: precision=0.2500, recall=0.1000, f1-score=0.1429, support=10.0
  Class 88: precision=0.0000, recall=0.0000, f1-score=0.0000, support=11.0
  Class 89: precision=0.0000, recall=0.0000, f1-score=0.0000, support=10.0
  Class 90: precision=0.2653, recall=0.4062, f1-score=0.3210, support=32.0
  Class 91: precision=0.0588, recall=0.1429, f1-score=0.0833, support=7.0
  Class 92: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 93: precision=0.0000, recall=0.0000, f1-score=0.0000, support=3.0
  Class 94: precision=1.0000, recall=0.0833, f1-score=0.1538, support=12.0
  Class 95: precision=0.0000, recall=0.0000, f1-score=0.0000, support=6.0
  Class 96: precision=0.0000, recall=0.0000, f1-score=0.0000, support=12.0
  Class 97: precision=0.0000, recall=0.0000, f1-score=0.0000, support=12.0
  Class 98: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 99: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 100: precision=0.1579, recall=0.1304, f1-score=0.1429, support=23.0
